"moment","V^2","V^4","V^6","V^8","V^10","V^12","V^14","V^16","V^18","V^20"
1,"1/2",0,0,0,0,0,0,0,0,0
2,"25/2","1/2",0,0,0,0,0,0,0,0
3,940,"91/2","1/2",0,0,0,0,0,0,0
4,"232125/2","13629/2","189/2","1/2",0,0,0,0,0,0
5,19510932,"11148565/8",24404,"319/2","1/2",0,0,0,0,0
6,4062314172,"1410229151/4","32049867/4","136225/2","481/2","1/2",0,0,0,0
7,988698062880,"207675560563/2","24516524829/8","144128797/4",176344,"675/2","1/2",0,0,0
8,"541210175848485/2",34207411084861,"20685671581187/16","41636355277/2","307335071/2","955197/2","901/2","1/2",0,0
9,81068348220273700,"98124323507726013/8","4668014201206067/8","398748885787189/32","527571080941/4","5438870079/8",1454856,"1159/2","1/2",0
10,26075630869680206100,4697901664448579225,"8862964842282186477/32","121740502508253891/16","872188644093547/8","3315204793583/4","12655717215/4","10006225/2","1449/2","1/2"
